misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,284,-18.985356260000003,1.419375240802765,0.0015715816523879766,30.42976131439209
40,19680,289,-19.58617687,1.4194766759872437,-0.00012096092104911804,29.57493190765381
60,29280,288,-19.73771162,1.4191878199577332,-0.004637077450752258,7.378968596458435
80,38880,289,-18.852930889999996,1.4187852382659911,-0.00215892493724823,5.605168652534485
